title,link,image,lprice,hprice,mallName,productId,productType,brand,maker,category1,category2,category3,category4
삼성전자 갤럭시 A35 128GB 듀얼심 5G 공기계 자급제 폰 카메라무음,https://smartstore.naver.com/main/products/10067549578,https://shopping-phinf.pstatic.net/main_8761205/87612052202.3.jpg,348500,,얼리텍,87612052202,2,갤럭시,삼성전자,디지털/가전,휴대폰,자급제폰,
삼성전자 갤럭시 A36 128GB 듀얼심 e심 5G 공기계 자급제 폰,https://smartstore.naver.com/main/products/11564033107,https://shopping-phinf.pstatic.net/main_8910854/89108543513.jpg,340000,,얼리텍,89108543513,2,갤럭시,삼성전자,디지털/가전,휴대폰,자급제폰,
스타일 폴더2 AT-M140 32GB 학생폰 공부폰 공신폰 효도폰,https://smartstore.naver.com/main/products/11484022873,https://shopping-phinf.pstatic.net/main_8902853/89028533238.jpg,98000,,주식회사 레드,89028533238,2,,ALT,디지털/가전,휴대폰,공기계/중고폰,
삼성전자 SK 기기변경 갤럭시S25 / S25 Edge / Ultra 256GB 512GB 프리미엄,https://link.gmarket.co.kr/gate/pcs?item-no=4117473546&sub-id=1003&service-code=10000003&lcd=100000056,https://shopping-phinf.pstatic.net/main_5458202/54582028308.jpg,189000,,G마켓,54582028308,2,삼성,삼성전자,디지털/가전,휴대폰,SKT,
삼성전자 삼성 갤럭시Z플립5 새제품/미개봉/미개통,https://www.lotteon.com/p/product/LO2277614481?sitmNo=LO2277614481_2277614486&ch_no=100065&ch_dtl_no=1000030&entryPoint=pcs&dp_infw_cd=CHT,https://shopping-phinf.pstatic.net/main_4635904/46359042524.2.jpg,193000,,롯데ON,46359042524,2,삼성,Apple,디지털/가전,휴대폰,공기계/중고폰,
삼성 공신폰 갤럭시 A16 128GB 공부폰 키즈 학생 수험생 우등생폰,https://smartstore.naver.com/main/products/11191306930,https://shopping-phinf.pstatic.net/main_8873581/88735817252.1.jpg,98000,,콩콩굿몰,88735817252,2,삼성,삼성전자,디지털/가전,휴대폰,공기계/중고폰,
아이폰 16 256GB [자급제],https://search.shopping.naver.com/catalog/53599047322,https://shopping-phinf.pstatic.net/main_5359904/53599047322.20250317161057.jpg,1370000,,네이버,53599047322,1,Apple,Apple,디지털/가전,휴대폰,자급제폰,
삼성전자 갤럭시 S25 엣지 5G 256GB [자급제],https://search.shopping.naver.com/catalog/54743810029,https://shopping-phinf.pstatic.net/main_5474381/54743810029.20250515102915.jpg,1378060,,네이버,54743810029,1,갤럭시,삼성전자,디지털/가전,휴대폰,자급제폰,
아이폰 16 프로 128GB [자급제],https://search.shopping.naver.com/catalog/53599505976,https://shopping-phinf.pstatic.net/main_5359950/53599505976.20250317165223.jpg,1472500,,네이버,53599505976,1,Apple,Apple,디지털/가전,휴대폰,자급제폰,
삼성전자 갤럭시 S24 플러스 5G 256GB [자급제],https://search.shopping.naver.com/catalog/53626542874,https://shopping-phinf.pstatic.net/main_5362654/53626542874.20250318160831.jpg,948900,,네이버,53626542874,1,갤럭시,삼성전자,디지털/가전,휴대폰,자급제폰,
MIVE 마이브 스타일 폴더 효도폰 공기계 미사용 새제품 jp,https://smartstore.naver.com/main/products/9541733313,https://shopping-phinf.pstatic.net/main_8708623/87086235583.jpg,196000,,제이플러스시스템,87086235583,2,,ALT,디지털/가전,휴대폰,공기계/중고폰,
갤럭시A15 효도폰 128GB 알뜰 핸드폰 업무용폰 영업 세컨 서브 저가 스마트폰,https://smartstore.naver.com/main/products/9618653185,https://shopping-phinf.pstatic.net/main_8716315/87163155455.1.jpg,24750,,알뜰스마트,87163155455,2,갤럭시,삼성전자,디지털/가전,휴대폰,공기계/중고폰,
[삼성전자]갤럭시 Z플립5 256GB 미개봉 새상품,https://smartstore.naver.com/main/products/11645170172,https://shopping-phinf.pstatic.net/main_8918968/89189680638.jpg,299200,,전국온라인최저가,89189680638,2,갤럭시,삼성전자,디지털/가전,휴대폰,자급제폰,
[대여] 갤럭시 S24 울트라 대여 렌탈 512Gb 1일,https://smartstore.naver.com/main/products/9884937964,https://shopping-phinf.pstatic.net/main_8742944/87429440237.3.jpg,7800,,겜팜,87429440237,2,갤럭시,삼성전자,디지털/가전,휴대폰,공기계/중고폰,
애플 아이폰 16e 128GB 미개봉 새상품,https://smartstore.naver.com/main/products/11567330578,https://shopping-phinf.pstatic.net/main_8911184/89111840984.jpg,490000,,모바일 익스프레스,89111840984,2,Apple,Apple,디지털/가전,휴대폰,자급제폰,
갤럭시 삼성전자 Z폴드6 512GB 미개봉 새제품  네이비,https://link.coupang.com/re/PCSNAVERPCSDP?pageKey=8615646113&ctag=8615646113&lptag=I24992390898&itemId=24992390898&vendorItemId=91997709293&spec=10305199,https://shopping-phinf.pstatic.net/main_5322461/53224616336.jpg,1405100,,쿠팡,53224616336,2,갤럭시,삼성전자,디지털/가전,휴대폰,자급제폰,
Samsung S25 Edge 정품 갤럭시S25엣지 [512GB],https://smartstore.naver.com/main/products/11810799649,https://shopping-phinf.pstatic.net/main_8935531/89355310236.3.jpg,1289000,,에이치앤더블유KT,89355310236,2,삼성,삼성전자,디지털/가전,휴대폰,자급제폰,
갤럭시 A35 128GB SM-A356N 미개봉 Galaxy A35,http://www.ssg.com/item/itemView.ssg?itemId=1000629421893&siteNo=6001&salestrNo=6005&ckwhere=ssg_naver&appPopYn=n&utm_medium=PCS&utm_source=naver&utm_campaign=naver_pcs,https://shopping-phinf.pstatic.net/main_5154945/51549452951.jpg,201760,,SSG닷컴,51549452951,2,삼성,,디지털/가전,휴대폰,자급제폰,
아이폰 16 128GB [자급제],https://search.shopping.naver.com/catalog/53599047304,https://shopping-phinf.pstatic.net/main_5359904/53599047304.20250317160900.jpg,1200000,,네이버,53599047304,1,Apple,Apple,디지털/가전,휴대폰,자급제폰,
